entry,word,translation,partofspeech
588,desgrasia,misfortune,
589,deshar,leave;abandon,
590,desidar,decide,
591,desiémbre;disiémbre,December,(m)
592,desinar,sketch,
593,desizión;desizyón,decision,(f)
594,deskansar,rest,
595,deskarádo/deskaráda,shameless,
596,deskonfiensa,mistrust,
597,deskorajar,discourage,
598,deskripsion,description,
599,deskrivir,describe,
600,deskudiado/a,careless,
601,deskudio,carelessness,
602,deskuvijár;deskuvrír,uncover,(v)
603,deskuvrír,discover,(v)
604,desmazaládo,misfortunate;,(adj)
605,desmodrádo,incongruous,(adj)
606,desordenado/a,disorderly,
607,desparesér,disappear,(v)
608,despues,after;later,
609,despues;atras,behind;after,
610,desrepozo,ailment,
611,destakaménto,detachment,(m)
612,destakár,detach;detail,(v)
613,destino,destiny,
614,destruir,destroy,
615,detalio;detalyo,detail,
616,detálios;detályos,details,(m)
617,detener,stop;hold back,
618,detrás,behind,
619,detras;despues,posterior;subsequent,
620,dévda,debt,(f)
621,devér,owe,(v)
622,dever;mision,task;duty,
623,devista;pishin,immediately;at once,
624,devorar,devour,
625,dezeo,wish;desire,
626,dezesperarse,despair,
627,dezeyar,wish,
628,dezierto,desert,
629,dezír;dizír,say,(v)
630,dezorden;konfuzion,disorder;confusion,
631,dezvelopar,develop,
632,dia entero,all day,
633,dia;diya,day,
634,dialékto,dialect,
635,diaspora,diaspora,
636,diavlo,devil,
637,dícha,saying,
638,dícha,good luck,
639,diente,tooth,
640,dientisto/a,dentist,
641,diéz;dyéz,ten,(adj num)
642,diezén;dyezén,tenth,(adj)
643,diferensia,difference;disparity,
644,diferénte,different;un like,
645,difikultad,difficulty,
646,difísil,difficult,
647,difuzar,diffuse,
648,difuzyon,diffusion,
649,diksionário;diksionáryo,dictionary,
650,dinero,money,
651,dingún;ningún,no;none,(adj)
652,dingúno;ningúno,nobody,(Pron)
653,dinyidad,dignity,
654,Dio,God,
655,direksion;adreso,direction;address,
656,direksion;volante,steering-wheel,
657,direktamente,directly,
658,direkto/a,direct,
659,direktór,director;manager,
660,diríto,right,(m)
661,disko,disk,
662,diskulpar,excuse;exonerate,
663,diskusion,discussion;argument,
664,diskutir,discuss;argue,
665,dispozar,make use of,
666,distinguir,distinguish,
667,distraido/a,absent-minded,
668,diverso,diverse,
669,divertirse,have a good time,
670,diya/dia,day,
671,diz,knee,
672,dizír;dezír,say,(v)
673,djaketa,jacket,
674,djenero,gender,
675,djenero;klase,type;class,
676,djenitores,parents,
677,djente,people,
678,djesto,gesture,
679,djibeladjuz,shrew,
680,djóven;djovína,young;young man,(m/f)
681,djoya,jewel,
682,djoyero,jeweler,
683,djudaísmo,judaism,
684,djudéo-espanyól,judeo-spanish,(m)
685,djudio/a,Jew,
686,djuéves;djugéves,Thursday,(m)
687,djugar,play,
688,djugete,toy,
689,djulio,July,
690,djuntos,joined;together,
691,djurar,swear;take an oath,
692,djústo,just;right;fair,
693,djuzgo,judgement;trial,(m)
694,djuzgo,judge,(m/f)
695,doblar,double;fold up,
696,dobro,good ;nice,
697,dóbro,good;nice,(adj)
698,dodje,twelve,
699,doktor,doctor,
700,dokuménto,document;certificate,(m)
701,dokumento ofisial,official document,
702,dolar,dollar,
703,dolio,mourning,
704,dolór,pain;ache,(f)
705,domestiko/a;de kaza,domestic,
706,dominasion,dominion;power,
707,dondurmá,ice cream,(f)
708,dos,two,
709,dospues,after;later,
710,dozientos,two hundred,
711,dróga,drug;medicine,(f)
712,dubio,doubt,
713,dublar,double;fold up,
714,dulse,sweet,
715,dunke;alora,therefore,
716,durante,during,
717,durasion,duration,
718,duréra,constipation,(f)
719,durmir,sleep,
720,duro/a,hard,
721,e,and,
722,ebreo,Hebrew,
723,écha,accomplished action,
724,echar,throw,
725,echar,hurl,
726,echar chiyo,howl,
727,echar kon fuersa,hurl,
728,echar tino;azer atansion,pay attention,
729,echarse,lie down,
730,echarse anyudo,knot oneself,
731,echizo,spell,
732,echo,work,
733,edad,age,
734,editar,edit,
735,editoriál,editorial,(m)
736,efasár,erase;rub out,(v)
737,eféto;efékto,effect,(m)
738,eglenearse,have a good time,
739,egoisto/a,selfish,
740,egzaltado/a,exultant,
741,egzamen,examination,
742,egzaminar,examine,
743,egzekutir,execute,
744,egzempio,example,
745,egzemplar,exemplary,
746,egzersis,exercise,
747,egziliar,exile,
748,egzistir,exist,
749,ekilibrar,balance,
750,ekonomizar,save,
751,ekselente,excellent,
752,eksepsion,exception,
753,ekseptado,except,
754,ekskuza,excuse,
755,eksperimentar,experiment,
756,eksplikar;dar a entender,explain,
757,eksplikasion,explanation,
758,eksplorar,explore,
759,eksplozar,explode,
760,eksplozar,burst,
761,eksplozion,explosion,
762,ekspozar,expose,
763,ekspozision,exposition,
764,ekspresar,express,
765,ekspresión,expression,(f)
766,ekspulsion,ezpulsion;ejection,
767,ekstendér,extend,(v)
768,el,the,
769,el de despues,next;near,
770,el mez ke viene,next month,
771,el save,you know better,
772,elegante,neat;stylish,
773,eleksion,election,
774,elektrisita,electricity,
775,elektronika,electronics,
776,elevo/a,student;pupil,
777,elijir,elect,
778,embargo,embargo,
779,embarkasion kon vela,sail boat,
780,embasadór;embashadór,ambassador,(m)
781,embiar,send,
782,embidia,envy;jealousy,
783,embolvérse,become absorbed,(v)
784,embreneár,delight;charm,(v)
785,embreneárse,be delighted,(v)
786,embrolio,imbroglio;tangle,
787,emision,emission,
788,empedir,stop;prevent,
789,empesar,begin,
790,empesijo,beginning,
791,empiegado/a,employee,
792,emportánsa;importánsa,importance,(f)
793,emportánte;importánte,important;,(adj)
794,emportár,matter,(v)
795,empórto,amount;value;cost,(m)
796,emposivle,impossible,
797,emprestádo,borrowed,(adj)
798,emprestár,lend;loan,(v)
799,empréstimo,loan,(m)
800,emprimadór,printer,(m)
801,emprimár;imprimár,print,(v)
802,empriméro,at first,(adv)
803,en,in;into;upon;at;by,
804,en medio,in the middle;obvious,
805,en mizmo tiempo,at a time,
806,en prezensia,before,
807,en primero;empesijo,beginning,
808,en raporto a,in respect to,
809,en supito,suddenly,
810,en vista;pishin,at once,
811,enchikeser,reduce,
812,endagóra,just now;a bit ago,(adv)
813,endécha,lament;elegy,(f)
814,enderechár,put right;straighten,(v)
815,endevína,riddle,(f)
816,endevinár,guess,(v)
817,endevíno,fortune-teller,(m/f)
818,endjuntos,together;at the same time,
819,endriva;sovre,on;on top;about,
820,enéro,January,
821,enfasyar,bore,
822,enfin,finally,
823,enfinkár,stick something pointed,(v)
824,enfirmeria,infirmary,
825,enfirmo/a,invalid,
826,enformatika,computer science,
827,enfrente,across,
828,enfrente de,opposite to,
829,engodrar,fatten,
830,engrandeser,grow,
831,enjendrar,beget;breed,
832,enkantado,astonished,(adj)
833,enkasháda,swindle,(f)
834,enkashár,insert,(v)
835,enklinar,incline,
836,enkolgar,hang,
837,enkomendansa,commandment,
838,enkomendar,recommend;place an order,
839,enkontrar,find;meet,
840,enkontrarse,find;meet,
841,enkontro,meeting,
842,enkorajar,encourage,
843,enkorajar,urge on;encourage,
844,enlokesér,madden;drive mad,(v)
845,enmofesído,mouldy,(adj)
846,enriva;sovre,on;on top;about,
847,ensenyar,teach,
848,enshaguár,rinse;wash,(v)
849,enshémplo,example,
850,ensíma,above;over;on top,
851,ensupito,suddenly,
852,ensuziar,dirty,
853,entendér,understand,(v)
854,enteramente,entirely,
855,enterés;enteréso,interest,(m)
856,enteresánte;interesánte,interesting,(adj)
857,enteresar,interest,
858,enteresarse,take interest,
859,entero,whole,
860,enteromper,interrupt,
861,enterramiento,burial;funeral,
862,enterrar,bury,
863,enterrarse,be buried,
864,entision,intention,
865,entónses;estónses,then;at that time,
866,entornado/a,surrounded,
867,entornar,surround;encircle,
868,entórno,environment,(m)
869,entrada,entrance,
870,entrafikado;komplikado,intricate,
871,entrar,enter,
872,entre,between;among,
873,entregar,deliver,
874,entremientes,meanwhile,
875,entreprisa,enterprise,
876,entuziasmo,enthusiasm,
877,enventar,invent,
878,enverano,summer,
879,envitar,invite,
880,enyegar,deny,
881,epóka,epoch;period;time,
882,éra,era;age,(epóka)
883,erensia,inheritance,
884,ergueler,hurt,
885,ermana,sister,
886,ermano,brother,
887,ermozo/a,beautiful,
888,ermozúra,beauty;loveliness,
889,ermuéra;nuéra,daughter-in-law,(f)
890,eroe,hero,
891,esforsarse,strain;exert oneself,
892,esforso,effort,
893,esfuégro,father/mother-in-law,(m/f)
894,esfuenyo,sleep,
895,eskaldar,scald;stew,
896,eskalera,staircase,
897,eskalon,step;grade,
898,eskalonar,spread out at intervals,
899,eskapar,finish,
900,eskarinyárse,long for;miss,(v)
901,eskarinyo,longing;nostalgia,
902,eskarvár,dig;ransack,(v)
903,esklamar,exclaim,
904,eskojer,choose,
905,eskola,school,
906,eskonderse,hide,
907,eskondido/a,hidden,
908,eskrita,letter;written document,
909,eskríto,writing;document,
910,eskritor,writer,(m/f)
911,eskritór,writer,(m/f)
912,eskritúra,writing;script;handwriting,(f)
913,eskrivir,write,
914,eskuchár,listen,(v)
915,eskudo,shield,
916,eskupir,spit,
917,eskuridad,darkness,
918,eskuro,dark,
919,eskuzar,excuse,
920,esmeralda,emerald,
921,espada,sword,
922,espalda,back,
923,espander,stick out,
924,espandido/a;ancho,extensive,
925,espandir,extend,
926,espandirse;echarse,lie down,
927,espantar,frighten,
928,espantarse,be frightened,
929,espantavle,fearsome,
930,espanto,fear;fright;terror,
931,espantozo,coward,
932,espanyol,Spanish,
933,espartir,distribute;share out,(distribuir)
934,espasio,space,
935,espedir,despatch,
936,espejo,mirror,
937,espektador,spectator,
938,espektakolo,spectacle,
